text,label
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.4, Location coordinates 21.0152,105.8690, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.4, Location coordinates 21.0152,105.8690, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.4, Location coordinates 21.0152,105.8690, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 0.43 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.4, Location coordinates 21.0123,105.8717, Hardware Device 6f5129ac.",0.9431
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.12, Location coordinates 20.9796,105.8976, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.12, Location coordinates 20.9796,105.8976, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.12, Location coordinates 20.9796,105.8976, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 0.95 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.12, Location coordinates 20.9877,105.9007, Hardware Device 6f5129ac.",0.9484
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.9, Location coordinates 21.0119,105.8550, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.9, Location coordinates 21.0119,105.8550, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.9, Location coordinates 21.0119,105.8550, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 0.81 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.9, Location coordinates 21.0086,105.8481, Hardware Device 6f5129ac.",0.9775
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.19, Location coordinates 21.0391,105.8423, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.19, Location coordinates 21.0391,105.8423, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.19, Location coordinates 21.0391,105.8423, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 0.77 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.19, Location coordinates 21.0452,105.8459, Hardware Device 6f5129ac.",0.925
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.6, Location coordinates 20.9835,105.8864, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.6, Location coordinates 20.9835,105.8864, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.6, Location coordinates 20.9835,105.8864, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 1.02 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.6, Location coordinates 20.9905,105.8801, Hardware Device 6f5129ac.",0.9932
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.2, Location coordinates 21.0749,105.8238, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.2, Location coordinates 21.0749,105.8238, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.2, Location coordinates 21.0749,105.8238, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 1.05 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.2, Location coordinates 21.0774,105.8141, Hardware Device 6f5129ac.",0.9065
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.11, Location coordinates 21.0638,105.8979, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.11, Location coordinates 21.0638,105.8979, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.11, Location coordinates 21.0638,105.8979, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 9235.03 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 203.0.113.50, Location coordinates 51.5074,-0.1278, Hardware Device b4a1f9e2.",0.3604
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.17, Location coordinates 21.0138,105.8231, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.17, Location coordinates 21.0138,105.8231, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.17, Location coordinates 21.0138,105.8231, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 0.42 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.17, Location coordinates 21.0104,105.8215, Hardware Device 6f5129ac.",0.9599
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.17, Location coordinates 21.0204,105.9013, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.17, Location coordinates 21.0204,105.9013, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.17, Location coordinates 21.0204,105.9013, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 0.93 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.17, Location coordinates 21.0213,105.8924, Hardware Device 6f5129ac.",0.9119
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.10, Location coordinates 20.9898,105.8907, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.10, Location coordinates 20.9898,105.8907, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.10, Location coordinates 20.9898,105.8907, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 9241.15 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 203.0.113.50, Location coordinates 51.5074,-0.1278, Hardware Device b4a1f9e2.",0.3943
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.5, Location coordinates 21.0210,105.9003, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.5, Location coordinates 21.0210,105.9003, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.5, Location coordinates 21.0210,105.9003, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 0.76 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.5, Location coordinates 21.0251,105.9062, Hardware Device 6f5129ac.",0.9103
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.11, Location coordinates 20.9927,105.8090, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.11, Location coordinates 20.9927,105.8090, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.11, Location coordinates 20.9927,105.8090, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 0.26 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.11, Location coordinates 20.9903,105.8086, Hardware Device 6f5129ac.",0.9139
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.16, Location coordinates 21.0246,105.8385, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.16, Location coordinates 21.0246,105.8385, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.16, Location coordinates 21.0246,105.8385, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 0.43 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.16, Location coordinates 21.0273,105.8415, Hardware Device 6f5129ac.",0.9843
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.2, Location coordinates 20.9808,105.8922, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.2, Location coordinates 20.9808,105.8922, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.2, Location coordinates 20.9808,105.8922, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 0.47 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.2, Location coordinates 20.9772,105.8945, Hardware Device 6f5129ac.",0.9352
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.5, Location coordinates 21.0687,105.8421, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.5, Location coordinates 21.0687,105.8421, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.5, Location coordinates 21.0687,105.8421, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 0.97 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.5, Location coordinates 21.0717,105.8333, Hardware Device 6f5129ac.",0.9481
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.3, Location coordinates 21.0361,105.8083, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.3, Location coordinates 21.0361,105.8083, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.3, Location coordinates 21.0361,105.8083, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 0.99 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.3, Location coordinates 21.0275,105.8059, Hardware Device 6f5129ac.",0.9743
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.14, Location coordinates 21.0010,105.8216, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.14, Location coordinates 21.0010,105.8216, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.14, Location coordinates 21.0010,105.8216, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 1.03 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.14, Location coordinates 21.0098,105.8185, Hardware Device 6f5129ac.",0.933
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.12, Location coordinates 21.0617,105.8445, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.12, Location coordinates 21.0617,105.8445, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.12, Location coordinates 21.0617,105.8445, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 9231.88 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 8.8.8.8, Location coordinates 51.5074,-0.1278, Hardware Device b4a1f9e2.",0.3435
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.18, Location coordinates 21.0611,105.8185, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.18, Location coordinates 21.0611,105.8185, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.18, Location coordinates 21.0611,105.8185, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 1.24 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.18, Location coordinates 21.0511,105.8239, Hardware Device 6f5129ac.",0.9895
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.2, Location coordinates 21.0373,105.8055, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.2, Location coordinates 21.0373,105.8055, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.2, Location coordinates 21.0373,105.8055, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 0.87 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.2, Location coordinates 21.0425,105.7991, Hardware Device 6f5129ac.",0.9441
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.14, Location coordinates 21.0483,105.8406, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.14, Location coordinates 21.0483,105.8406, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.14, Location coordinates 21.0483,105.8406, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 1.19 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.14, Location coordinates 21.0396,105.8339, Hardware Device 6f5129ac.",0.9332
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.9, Location coordinates 20.9819,105.8399, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.9, Location coordinates 20.9819,105.8399, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.9, Location coordinates 20.9819,105.8399, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 9238.68 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 203.0.113.50, Location coordinates 51.5074,-0.1278, Hardware Device b4a1f9e2.",0.3904
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.9, Location coordinates 21.0729,105.8664, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.9, Location coordinates 21.0729,105.8664, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.9, Location coordinates 21.0729,105.8664, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 0.45 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.9, Location coordinates 21.0734,105.8620, Hardware Device 6f5129ac.",0.9302
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.15, Location coordinates 21.0489,105.8471, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.15, Location coordinates 21.0489,105.8471, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.15, Location coordinates 21.0489,105.8471, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 0.16 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.15, Location coordinates 21.0487,105.8456, Hardware Device 6f5129ac.",0.9749
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.12, Location coordinates 20.9891,105.8195, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.12, Location coordinates 20.9891,105.8195, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.12, Location coordinates 20.9891,105.8195, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 9236.76 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 203.0.113.50, Location coordinates 51.5074,-0.1278, Hardware Device b4a1f9e2.",0.3758
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.9, Location coordinates 21.0447,105.8416, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.9, Location coordinates 21.0447,105.8416, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.9, Location coordinates 21.0447,105.8416, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 9233.21 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 8.8.8.8, Location coordinates 51.5074,-0.1278, Hardware Device b4a1f9e2.",0.3692
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.17, Location coordinates 21.0589,105.8905, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.17, Location coordinates 21.0589,105.8905, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.17, Location coordinates 21.0589,105.8905, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 0.42 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.17, Location coordinates 21.0626,105.8896, Hardware Device 6f5129ac.",0.9129
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.13, Location coordinates 21.0472,105.8561, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.13, Location coordinates 21.0472,105.8561, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.13, Location coordinates 21.0472,105.8561, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 9233.89 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 203.0.113.50, Location coordinates 51.5074,-0.1278, Hardware Device b4a1f9e2.",0.3242
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.8, Location coordinates 20.9874,105.8814, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.8, Location coordinates 20.9874,105.8814, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.8, Location coordinates 20.9874,105.8814, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 9240.78 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 203.0.113.50, Location coordinates 51.5074,-0.1278, Hardware Device b4a1f9e2.",0.3293
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.18, Location coordinates 20.9831,105.8867, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.18, Location coordinates 20.9831,105.8867, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.18, Location coordinates 20.9831,105.8867, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 9241.50 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 8.8.8.8, Location coordinates 51.5074,-0.1278, Hardware Device b4a1f9e2.",0.3859
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.5, Location coordinates 20.9917,105.8510, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.5, Location coordinates 20.9917,105.8510, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.5, Location coordinates 20.9917,105.8510, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 0.91 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.5, Location coordinates 20.9948,105.8591, Hardware Device 6f5129ac.",0.957
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.10, Location coordinates 21.0161,105.8377, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.10, Location coordinates 21.0161,105.8377, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.10, Location coordinates 21.0161,105.8377, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 0.45 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.10, Location coordinates 21.0180,105.8338, Hardware Device 6f5129ac.",0.919
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.15, Location coordinates 21.0576,105.8151, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.15, Location coordinates 21.0576,105.8151, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.15, Location coordinates 21.0576,105.8151, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 9230.41 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 8.8.8.8, Location coordinates 51.5074,-0.1278, Hardware Device b4a1f9e2.",0.3835
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.15, Location coordinates 21.0404,105.8586, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.15, Location coordinates 21.0404,105.8586, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.15, Location coordinates 21.0404,105.8586, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 1.23 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.15, Location coordinates 21.0306,105.8640, Hardware Device 6f5129ac.",0.9341
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.4, Location coordinates 20.9869,105.8830, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.4, Location coordinates 20.9869,105.8830, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.4, Location coordinates 20.9869,105.8830, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 1.05 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.4, Location coordinates 20.9776,105.8846, Hardware Device 6f5129ac.",0.9247
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.17, Location coordinates 21.0255,105.8473, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.17, Location coordinates 21.0255,105.8473, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.17, Location coordinates 21.0255,105.8473, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 1.00 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.17, Location coordinates 21.0323,105.8536, Hardware Device 6f5129ac.",0.962
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.12, Location coordinates 21.0393,105.8465, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.12, Location coordinates 21.0393,105.8465, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.12, Location coordinates 21.0393,105.8465, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 1.06 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.12, Location coordinates 21.0488,105.8469, Hardware Device 6f5129ac.",0.9216
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.4, Location coordinates 21.0232,105.8074, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.4, Location coordinates 21.0232,105.8074, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.4, Location coordinates 21.0232,105.8074, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 0.92 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.4, Location coordinates 21.0311,105.8050, Hardware Device 6f5129ac.",0.95
